0x00024AE6	HBgps
0x0008DA24	gps_interval
0x00090124	No adverts
0x00090130	%d advert(s)
0x000901A8	GPS:%s BT:%s
0x00090218	Radio Settings
0x00090284	Custom Radio
0x000902B8	Radio Presets
0x00090384	Free QSPI
0x000904EC	Room login unavailable
0x00090674	Radio
0x00090684	Bluetooth
0x000906F0	Advert sound ON
0x00090700	Advert sound OFF
0x0009072C	Advert sent!
0x0009073C	Advert failed..
0x00090770	No GPS data
0x0009077C	Adverts Settings
0x00090790	Advert sound
0x000907B0	Advert rate %uh
0x000907C0	Advert rate %um
0x000907D0	Advert rate OFF
0x000907E4	Adverts
0x000907F8	Send advert (0-hop)
0x0009080C	Send advert (flood)
0x00090874	No GPS
0x0009087C	GPS OFF
0x000908C8	GPS Data
0x0009090C	GPS Hardware
0x00090960	GPS Settings
0x00090970	GPS %s
0x00090978	Show GPS data
0x00090988	Show GPS hardware
0x000909AC	GPS Units
0x00090C14	Enabled
0x00090C1C	Disabled
0x00090D14	GPS %s %s
0x00090DE8	Advert failed
0x00090DF8	Sending advert...
0x00090E0C	advert
0x000917D0	OK - Advert sent
0x000917E4	ADVERT SENT
0x00091F6C	GPS: Disabled
0x00091F7C	GPS: Enabled
0x0009221C	Send advert
0x0009226C	Home Radio
0x00092278	Home GPS
0x00092290	Home Bluetooth
0x00092310	Not available
0x000926F0	ERROR: radio init failed: 
0x00092A50	BLE: CONN_PARAM_UPDATE_REQUEST: handle=0x%04X, min_interval=%u, max_interval=%u, latency=%u, timeout=%u
0x00092ABC	BLE: Accepted CONN_PARAM_UPDATE_REQUEST (using PPCP)
0x00092AF4	BLE: ERROR: Failed to accept CONN_PARAM_UPDATE_REQUEST: 0x%08X
0x00092B34	BLE: CONN_PARAM_UPDATE_REQUEST: ignoring stale callback for handle=0x%04X
0x00092B80	BLE: writeFrame(), frame too big, len=%u
0x00092BAC	BLE: writeFrame(), send_queue is full!
0x00092BD4	BLE: onBleUartRX: recv queue full, dropping data
0x00092C08	BLE: onBleUartRX: WARN: BLE RX overflow, avail=%d, draining all
0x00092C4C	BLE: SerialBLEInterface: disconnected handle=0x%04X reason=%u
0x00092C8C	BLE: writeBytes: connection invalid, clearing send queue
0x00092CC8	BLE: writeBytes: sz=%u, hdr=%u
0x00092CE8	BLE: writeBytes: partial write, sent=%u of %u, dropping corrupted frame
0x00092D34	BLE: writeBytes failed: connection lost, dropping frame
0x00092D70	BLE: writeBytes failed (buffer full), keeping frame for retry
0x00092DB0	BLE: readBytes: sz=%u, hdr=%u
0x00092DD0	BLE: SerialBLEInterface: advertising watchdog - advertising stopped, restarting
0x00092E24	BLE: SerialBLEInterface: pairing passkey request match=%d
0x00092E60	BLE: SerialBLEInterface: pairing complete handle=0x%04X status=%u
0x00092EA4	BLE: SerialBLEInterface: pairing successful
0x00092ED4	BLE: SerialBLEInterface: pairing failed, disconnecting
0x00092F0C	BLE: onPairingComplete: ignoring stale callback
0x00092F40	BLE: PPCP set: %u-%ums interval, latency=%u, %ums timeout
0x00092F7C	BLE: Failed to set PPCP: %lu
0x00092F9C	BLE: SerialBLEInterface: disable
0x00092FC0	BLE: SerialBLEInterface: connected handle=0x%04X
0x00092FF4	BLE: SerialBLEInterface: onSecured handle=0x%04X
0x00093028	BLE: Connection parameter update requested: %u-%ums interval, latency=%u, %ums timeout
0x00093080	BLE: Failed to request connection parameter update: %lu
0x000930BC	BLE: onSecured: ignoring stale/duplicate callback
0x0009419C	_configure_lfs: Context verification - _qspi_initialized = 
0x00094238	Starting QSPI initialization...
0x00094258	QSPI init failed: 0x
0x00094270	QSPI driver initialized
0x00094288	Activating QSPI...
0x0009429C	Waiting for QSPI ready...
0x00094344	QSPI ready timeout!
0x00094358	QSPI is ready
0x000A133C	Private Resolvable
0x000A1350	Private Non Resolvable
