index	offset	value
0	0x00000000	0x20040000
1	0x00000004	0x000A6A9D
2	0x00000008	0x000A6ADD
3	0x0000000C	0x000A7F0D
4	0x00000010	0x000A6AE1
5	0x00000014	0x000A6AE3
6	0x00000018	0x000A6AE5
7	0x0000001C	0x00000000
8	0x00000020	0x00000000
9	0x00000024	0x00000000
10	0x00000028	0x00000000
11	0x0000002C	0x000A6A19
12	0x00000030	0x000A6AE9
13	0x00000034	0x00000000
14	0x00000038	0x000A6A39
15	0x0000003C	0x000A6AED
16	0x00000040	0x000A6CD5
17	0x00000044	0x000A6AEF
18	0x00000048	0x000A3FE5
19	0x0000004C	0x000699E1
20	0x00000050	0x00069A91
21	0x00000054	0x000A6AEF
22	0x00000058	0x000A4381
23	0x0000005C	0x000A6AEF
24	0x00000060	0x000A6AEF
25	0x00000064	0x000A6AEF
26	0x00000068	0x000A6AEF
27	0x0000006C	0x000A6AEF
28	0x00000070	0x000A6AEF
29	0x00000074	0x000A6AEF
30	0x00000078	0x000A6AEF
31	0x0000007C	0x000A6AEF
32	0x00000080	0x000A6AEF
33	0x00000084	0x000A679D
34	0x00000088	0x000A6AEF
35	0x0000008C	0x000A6AEF
36	0x00000090	0x000A6AEF
37	0x00000094	0x000A6AEF
38	0x00000098	0x000A17F5
39	0x0000009C	0x000A6AEF
40	0x000000A0	0x000A6AEF
41	0x000000A4	0x000A6AEF
42	0x000000A8	0x000A6AEF
43	0x000000AC	0x000A6AEF
44	0x000000B0	0x000A6AEF
45	0x000000B4	0x000A6AEF
46	0x000000B8	0x00000000
47	0x000000BC	0x00000000
48	0x000000C0	0x000A6AEF
49	0x000000C4	0x000A6AEF
50	0x000000C8	0x000A6AEF
51	0x000000CC	0x000A7725
52	0x000000D0	0x000A6AEF
53	0x000000D4	0x000A6AEF
54	0x000000D8	0x000A6AEF
55	0x000000DC	0x00027CC9
56	0x000000E0	0x000A6AEF
57	0x000000E4	0x000A7205
58	0x000000E8	0x000A6AEF
59	0x000000EC	0x00000000
60	0x000000F0	0x00000000
61	0x000000F4	0x000A6AEF
62	0x000000F8	0x00000000
63	0x000000FC	0x000A779D
